Image,True_WNID,True_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_84,n01629819,"European fire salamander, Salamandra salamandra",0.10192818939685822,0.050296809524297714,0.0647466853260994,0.1221967488527298,0.1859595775604248,0.2311062514781952,0.3043156862258911,0.37889015674591064,0.5127706527709961,0.826711893081665,0.9459338188171387,0.9884033203125
Image_85,n01629819,"European fire salamander, Salamandra salamandra",0.07386349886655807,0.0248337984085083,-0.00030674785375595093,0.0408647246658802,0.09738671034574509,0.13848687708377838,0.20657342672348022,0.29569530487060547,0.46469205617904663,0.8012397885322571,0.9236894845962524,0.9883442521095276
Image_86,n01629819,"European fire salamander, Salamandra salamandra",0.07406742125749588,0.04742278903722763,0.03340819850564003,0.05491894111037254,0.09556970000267029,0.13430923223495483,0.19034887850284576,0.26496076583862305,0.42090481519699097,0.7655220031738281,0.9210109710693359,0.988946795463562
Image_87,n01629819,"European fire salamander, Salamandra salamandra",0.089444600045681,0.026211880147457123,0.02483077347278595,0.06425116956233978,0.12661591172218323,0.1756584197282791,0.2335999608039856,0.30964237451553345,0.44385284185409546,0.8199833631515503,0.9407248497009277,0.9898678064346313
Image_88,n01629819,"European fire salamander, Salamandra salamandra",0.08430592715740204,0.03589038550853729,0.018804363906383514,0.05462264642119408,0.09394186735153198,0.14770688116550446,0.21199220418930054,0.31375712156295776,0.485460489988327,0.7955700159072876,0.9116491079330444,0.9897231459617615
Image_89,n01629819,"European fire salamander, Salamandra salamandra",0.045241888612508774,0.027643896639347076,-0.008571207523345947,0.013949498534202576,0.05835636332631111,0.10603376477956772,0.18285351991653442,0.2733618915081024,0.43477532267570496,0.7785541415214539,0.9234277009963989,0.9898693561553955
Image_90,n01629819,"European fire salamander, Salamandra salamandra",0.06593829393386841,0.042054612189531326,0.023176461458206177,0.06348611414432526,0.10356716811656952,0.16439318656921387,0.24185170233249664,0.3402348756790161,0.5255697965621948,0.854538083076477,0.955406665802002,0.9899769425392151
Image_91,n01629819,"European fire salamander, Salamandra salamandra",0.04504013806581497,0.02678232453763485,0.023768462240695953,0.07385772466659546,0.1322023570537567,0.17868539690971375,0.23627707362174988,0.3085222542285919,0.4831019937992096,0.8264164924621582,0.9520671367645264,0.9867879152297974
Image_92,n01629819,"European fire salamander, Salamandra salamandra",0.09775111824274063,0.043908316642045975,0.035049282014369965,0.06664206087589264,0.10733982920646667,0.15039843320846558,0.22352246940135956,0.30545297265052795,0.4769507944583893,0.7979535460472107,0.9239257574081421,0.9885163307189941
Image_93,n01629819,"European fire salamander, Salamandra salamandra",0.06631721556186676,0.04953085258603096,0.028108298778533936,0.06726155430078506,0.12968233227729797,0.1748265027999878,0.24982276558876038,0.3342476785182953,0.4906458854675293,0.8218357563018799,0.9277063608169556,0.9890376329421997
Image_94,n01629819,"European fire salamander, Salamandra salamandra",0.09248480200767517,0.058906517922878265,0.033195316791534424,0.06525754928588867,0.11381978541612625,0.15361472964286804,0.2151453197002411,0.29083776473999023,0.43196815252304077,0.7638691067695618,0.9024214148521423,0.9901410341262817
Image_95,n01629819,"European fire salamander, Salamandra salamandra",0.07733006775379181,0.040003299713134766,0.02532093971967697,0.06999427825212479,0.1349799782037735,0.20184920728206635,0.26252326369285583,0.3450232446193695,0.5063443779945374,0.8389884829521179,0.9281868934631348,0.9887771606445312
Image_96,n01629819,"European fire salamander, Salamandra salamandra",0.00569361075758934,-0.019255857914686203,-0.015569508075714111,0.03980912268161774,0.09489350020885468,0.14065220952033997,0.21253831684589386,0.29871946573257446,0.46342983841896057,0.7953757047653198,0.9258199334144592,0.9905357956886292
